Nation,Province,City,District,Listing URL
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/dijual-apartemen-bale-hinggil-2-bedroom-iid-932375771
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/rumah-dijalan-kedondong-surabaya-pusat-iid-932375752
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/170-juta-2-br-apartemen-puncak-cbd-kosongan-iid-932375738
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/dijual-rumah-kantor-mewah-ada-lift-3lt-pucang-anom-kalibokor-iid-930465678
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/rumah-mewah-2-lantai-promo-perum-nginden-intan-iid-930113976
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/rumah-gedangan-sidoarjo-2jtan-iid-932018680
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/rumah-kost-rungkut-cluster-dekat-pandugo-nirwana-iid-920956910
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/rumah-dijalan-kedondong-tegalsari-surabaya-iid-932375715
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/apartemen-gunawangsa-manyar-tengah-kota-surabaya-iid-932375714
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/studio-cornerapartemen-taman-melati-iid-932375682
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/dijual-apartemen-metropolis-pool-view-jarang-ada-iid-932375648
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/nego-sampe-dealapartemen-metropolis-1-br-bukan-studio-iid-932375626
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/dijual-rumah-pandugo-rungkut-dekat-merr-murah-iid-932375583
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/baru-gressrumah-pandugo-dekat-merr-smart-home-iid-932375556
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/rumah-baru-gress-pandugo-dekat-merr-iid-932375523
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/rumah-baru-gress-pandugo-dekat-merr-iid-932375503
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/dijual-rumah-ykp-pandugo-rungkut-dekat-merr-iid-932375444
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/baru-gress100-mtr-dr-raya-kenjeran-lebak-timur-iid-932375386
Indonesia,Jawa Timur,Surabaya Kota,Mulyorejo,https://www.olx.co.id/item/rumah-baru-gress2-lantai-rungkut-asri-iid-932375255
